1.869 - FF C0 C1 AA 00 00 03 54  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
1.879 - FF A0 C1 AA 00 00 00 AD  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
1.889 - FF A0 C1 AA 00 00 01 28  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
1.899 - FF A0 C1 AA 00 00 02 22  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
1.909 - FF A0 C1 AA 00 00 03 A7  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
1.919 - FF A0 C1 AA 00 00 00 AD  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
1.929 - FF A0 C1 AA 00 00 01 28  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
1.939 - FF A0 C1 AA 00 00 02 22  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
1.949 - FF C0 C1 AA 00 00 03 54  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
1.960 - FF A0 C1 AA 00 00 00 AD  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
1.969 - FF A0 C1 AA 00 00 01 28  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
1.979 - FF C0 C1 AA 00 00 02 D1  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
1.989 - FF C0 C1 AA 00 00 03 54  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
1.999 - FF C0 C1 AA 00 00 00 5E  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.009 - FF C0 C1 AA 00 00 01 DB  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.019 - FF C0 C1 AA 00 00 02 D1  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.029 - FF C0 C1 AA 00 00 03 54  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.039 - FF C0 C1 AA 00 00 00 5E  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.049 - FF C0 C1 AA 00 00 01 DB  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.059 - FF C0 C1 AA 00 00 02 D1  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.069 - FF C0 C1 AA 00 00 03 54  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.079 - FF C0 C1 AA 00 00 00 5E  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.089 - FF C0 C1 AA 00 00 01 DB  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.100 - FF C0 C1 AA 00 00 02 D1  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.110 - FF A0 C1 AA 00 00 03 A7  - Voltage: 387.00V, Current: -1.50A, Energy Spent: -0.0016125001Wh
2.121 - FF C0 C1 AA 00 00 00 5E  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.129 - FF C0 C1 AA 00 00 01 DB  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.139 - FF C0 C1 AA 00 00 02 D1  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.149 - FF C0 C1 AA 00 00 03 54  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.159 - FF C0 C1 AA 00 00 00 5E  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.169 - FF C0 C1 AA 00 00 01 DB  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.179 - FF C0 C1 AA 00 00 02 D1  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.189 - FF C0 C1 AA 00 00 03 54  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.199 - FF C0 C1 AA 00 00 00 5E  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
2.209 - FF C0 C1 AA 00 00 01 DB  - Voltage: 387.00V, Current: -1.00A, Energy Spent: -0.0010750000Wh
